[  144.982896] SCHED_LOG: pid=2370, nice=10, vruntime=23779842610, deadline=23779866803, burst_ns=273091 comm=cpuChild
[  144.983017] SCHED_LOG: pid=2370, nice=10, vruntime=23780821014, deadline=23780845207, burst_ns=105102 comm=cpuChild
[  144.983252] SCHED_LOG: pid=2370, nice=10, vruntime=23782847509, deadline=23782871702, burst_ns=217690 comm=cpuChild
[  144.983559] SCHED_LOG: pid=2370, nice=10, vruntime=23785457508, deadline=23785481701, burst_ns=280371 comm=cpuChild
[  144.984204] SCHED_LOG: pid=2369, nice=19, vruntime=23825106863, deadline=23825125613, burst_ns=599940 comm=cpuChild
[  144.984538] SCHED_LOG: pid=2370, nice=10, vruntime=23787807215, deadline=23787831408, burst_ns=252410 comm=cpuChild
[  144.984813] SCHED_LOG: pid=2370, nice=10, vruntime=23790012305, deadline=23790036498, burst_ns=236875 comm=cpuChild
[  144.985047] SCHED_LOG: pid=2370, nice=10, vruntime=23791829709, deadline=23791853902, burst_ns=195229 comm=cpuChild
[  144.985296] SCHED_LOG: pid=2370, nice=10, vruntime=23793707901, deadline=23793732094, burst_ns=201759 comm=cpuChild
[  144.985450] SCHED_LOG: pid=2370, nice=10, vruntime=23794927838, deadline=23794952031, burst_ns=131048 comm=cpuChild
[  144.985831] SCHED_LOG: pid=2370, nice=10, vruntime=23798327452, deadline=23798351645, burst_ns=365193 comm=cpuChild
[  144.986237] SCHED_LOG: pid=2370, nice=10, vruntime=23801881755, deadline=23801905948, burst_ns=381810 comm=cpuChild
[  144.986588] SCHED_LOG: pid=2370, nice=10, vruntime=23804992890, deadline=23805017083, burst_ns=334204 comm=cpuChild
[  144.986897] SCHED_LOG: pid=2370, nice=10, vruntime=23807704795, deadline=23807728988, burst_ns=291318 comm=cpuChild
[  144.987112] SCHED_LOG: pid=2370, nice=10, vruntime=23809564937, deadline=23809589130, burst_ns=199820 comm=cpuChild
[  144.987283] SCHED_LOG: pid=2370, nice=10, vruntime=23811030811, deadline=23811055004, burst_ns=157467 comm=cpuChild
[  144.987380] SCHED_LOG: pid=2370, nice=10, vruntime=23811820063, deadline=23811844256, burst_ns=84783 comm=cpuChild
[  144.987470] SCHED_LOG: pid=2370, nice=10, vruntime=23812548927, deadline=23812573120, burst_ns=78296 comm=cpuChild
[  144.987668] SCHED_LOG: pid=2370, nice=10, vruntime=23814281395, deadline=23814305588, burst_ns=186105 comm=cpuChild
[  144.987844] SCHED_LOG: pid=2370, nice=10, vruntime=23815806754, deadline=23815830947, burst_ns=163857 comm=cpuChild
[  144.988075] SCHED_LOG: pid=2370, nice=10, vruntime=23817513779, deadline=23817537972, burst_ns=183372 comm=cpuChild
[  144.988259] SCHED_LOG: pid=2370, nice=10, vruntime=23819092284, deadline=23819116477, burst_ns=169566 comm=cpuChild
[  144.988449] SCHED_LOG: pid=2370, nice=10, vruntime=23820746825, deadline=23820771018, burst_ns=177734 comm=cpuChild
[  144.988623] SCHED_LOG: pid=2370, nice=10, vruntime=23822249377, deadline=23822273570, burst_ns=161407 comm=cpuChild
[  144.988810] SCHED_LOG: pid=2370, nice=10, vruntime=23823872156, deadline=23823896349, burst_ns=174322 comm=cpuChild
[  144.988985] SCHED_LOG: pid=2370, nice=10, vruntime=23825387648, deadline=23825411841, burst_ns=162797 comm=cpuChild
[  144.989139] SCHED_LOG: pid=2369, nice=19, vruntime=23834823121, deadline=23834841871, burst_ns=142328 comm=cpuChild
[  144.989234] SCHED_LOG: pid=2370, nice=10, vruntime=23826144747, deadline=23826168940, burst_ns=81329 comm=cpuChild
[  144.989323] SCHED_LOG: pid=2370, nice=10, vruntime=23826861677, deadline=23826885870, burst_ns=77014 comm=cpuChild
[  144.989426] SCHED_LOG: pid=2370, nice=10, vruntime=23827590150, deadline=23827614343, burst_ns=78254 comm=cpuChild
[  144.989515] SCHED_LOG: pid=2370, nice=10, vruntime=23828301848, deadline=23828326041, burst_ns=76452 comm=cpuChild
[  144.989766] SCHED_LOG: pid=2370, nice=10, vruntime=23830535201, deadline=23830559394, burst_ns=239911 comm=cpuChild
[  144.989941] SCHED_LOG: pid=2370, nice=10, vruntime=23832044995, deadline=23832069188, burst_ns=162185 comm=cpuChild
[  144.990122] SCHED_LOG: pid=2370, nice=10, vruntime=23833612683, deadline=23833636876, burst_ns=168404 comm=cpuChild
[  144.990294] SCHED_LOG: pid=2370, nice=10, vruntime=23835101225, deadline=23835125418, burst_ns=159902 comm=cpuChild
[  144.990474] SCHED_LOG: pid=2369, nice=19, vruntime=23846275127, deadline=23846293877, burst_ns=167754 comm=cpuChild
[  144.990645] SCHED_LOG: pid=2370, nice=10, vruntime=23836584088, deadline=23836608281, burst_ns=159292 comm=cpuChild
[  144.990824] SCHED_LOG: pid=2370, nice=10, vruntime=23838134358, deadline=23838158551, burst_ns=166533 comm=cpuChild
[  144.990995] SCHED_LOG: pid=2370, nice=10, vruntime=23839612222, deadline=23839636415, burst_ns=158755 comm=cpuChild
[  144.991193] SCHED_LOG: pid=2370, nice=10, vruntime=23841233884, deadline=23841258077, burst_ns=174202 comm=cpuChild
[  144.991481] SCHED_LOG: pid=2370, nice=10, vruntime=23843798045, deadline=23843822238, burst_ns=275447 comm=cpuChild
[  144.991701] SCHED_LOG: pid=2370, nice=10, vruntime=23845729606, deadline=23845753799, burst_ns=207492 comm=cpuChild
[  144.991895] SCHED_LOG: pid=2370, nice=10, vruntime=23847408789, deadline=23847432982, burst_ns=180381 comm=cpuChild
[  144.992069] SCHED_LOG: pid=2369, nice=19, vruntime=23857293707, deadline=23857312457, burst_ns=161405 comm=cpuChild
[  144.992174] SCHED_LOG: pid=2370, nice=10, vruntime=23848260161, deadline=23848284354, burst_ns=91456 comm=cpuChild
[  144.992296] SCHED_LOG: pid=2370, nice=10, vruntime=23849276890, deadline=23849301083, burst_ns=109219 comm=cpuChild
[  144.992375] SCHED_LOG: pid=2370, nice=10, vruntime=23849896279, deadline=23849920472, burst_ns=66536 comm=cpuChild
[  144.992476] SCHED_LOG: pid=2370, nice=10, vruntime=23850719211, deadline=23850743404, burst_ns=88401 comm=cpuChild
[  144.992565] SCHED_LOG: pid=2370, nice=10, vruntime=23851438552, deadline=23851462745, burst_ns=77273 comm=cpuChild
[  144.992653] SCHED_LOG: pid=2370, nice=10, vruntime=23852143529, deadline=23852167722, burst_ns=75730 comm=cpuChild
[  144.992741] SCHED_LOG: pid=2370, nice=10, vruntime=23852848739, deadline=23852872932, burst_ns=75755 comm=cpuChild
[  144.992937] SCHED_LOG: pid=2370, nice=10, vruntime=23854565326, deadline=23854589519, burst_ns=184399 comm=cpuChild
[  144.993111] SCHED_LOG: pid=2370, nice=10, vruntime=23856040519, deadline=23856064712, burst_ns=158468 comm=cpuChild
[  144.993431] SCHED_LOG: pid=2370, nice=10, vruntime=23858671631, deadline=23858695824, burst_ns=282639 comm=cpuChild
[  144.993710] SCHED_LOG: pid=2369, nice=19, vruntime=23873959033, deadline=23873977783, burst_ns=244121 comm=cpuChild
[  144.993982] SCHED_LOG: pid=2370, nice=10, vruntime=23860888255, deadline=23860912448, burst_ns=238114 comm=cpuChild
[  144.994264] SCHED_LOG: pid=2370, nice=10, vruntime=23863190746, deadline=23863214939, burst_ns=247338 comm=cpuChild
[  144.994559] SCHED_LOG: pid=2370, nice=10, vruntime=23865611109, deadline=23865635302, burst_ns=260000 comm=cpuChild
[  144.994782] SCHED_LOG: pid=2370, nice=10, vruntime=23867357624, deadline=23867381817, burst_ns=187614 comm=cpuChild
[  144.994981] SCHED_LOG: pid=2370, nice=10, vruntime=23868896668, deadline=23868920861, burst_ns=165327 comm=cpuChild
[  144.995166] SCHED_LOG: pid=2370, nice=10, vruntime=23870291709, deadline=23870315902, burst_ns=149858 comm=cpuChild
[  144.995398] SCHED_LOG: pid=2370, nice=10, vruntime=23872137310, deadline=23872161503, burst_ns=198258 comm=cpuChild
[  144.995613] SCHED_LOG: pid=2370, nice=10, vruntime=23873892399, deadline=23873916592, burst_ns=188535 comm=cpuChild
[  144.995818] SCHED_LOG: pid=2370, nice=10, vruntime=23875518082, deadline=23875542275, burst_ns=174634 comm=cpuChild
